name,type,province,latitude,longitude,Category,Region,Rating
Pantai Ora,Beach,Maluku, -3.333000,129.500000,Natural,Maluku-Papua,4
Gunung Bukit Barisan,Mountain,Sumatra Selatan,-4.300000,103.200000,Natural,Sumatra,3
Pantai Gili Trawangan,Beach,Nusa Tenggara Barat,-8.351000,116.041000,Natural,Bali-Nusa Tenggara,4
Gunung Kelimutu,Volcano,Nusa Tenggara Timur,-8.770000,121.820000,Natural,Bali-Nusa Tenggara,4
Pulau Morotai,Island,Maluku Utara,2.050000,128.350000,Natural,Maluku-Papua,3
Pantai Liang,Beach,Maluku,-3.700000,128.333000,Natural,Maluku-Papua,3
Gunung Cartenz,Mountain,Papua,-4.083000,137.183000,Natural,Maluku-Papua,5
Sentul International Circuit,Racetrack,Jawa Barat,-6.546000,106.866000,Modern,Java,3
Pantai Batu Karas,Beach,Jawa Barat,-7.739000,108.490000,Natural,Java,3
Gunung Slamet,Mountain,Jawa Tengah,-7.242000,109.209000,Natural,Java,4
Pantai Balekambang,Beach,Jawa Timur,-8.400000,112.535000,Natural,Java,3
Gunung Sumbing,Mountain,Jawa Tengah,-7.385000,110.070000,Natural,Java,3
Pantai Pandawa,Beach,Bali,-8.848000,115.180000,Natural,Bali-Nusa Tenggara,4
Gunung Sindoro,Mountain,Jawa Tengah,-7.300000,109.996000,Natural,Java,3
Pantai Drini,Beach,DI Yogyakarta,-8.135000,110.605000,Natural,Java,3
Gunung Batok,Mountain,Jawa Timur,-7.913000,112.952000,Natural,Java,3
Pantai Ngliyep,Beach,Jawa Timur,-8.394000,112.479000,Natural,Java,3
Gunung Gede,Mountain,Jawa Barat,-6.778000,106.985000,Natural,Java,4
Pantai Pelabuhan Ratu,Beach,Jawa Barat,-6.980000,106.554000,Natural,Java,3
Gunung Pangrango,Mountain,Jawa Barat,-6.770000,106.985000,Natural,Java,3
Pantai Sawarna,Beach,Banten,-6.950000,106.320000,Natural,Java,3
Gunung Ciremai,Mountain,Jawa Barat,-6.891000,108.406000,Natural,Java,3
Pantai Karang Bolong,Beach,Banten,-6.300000,106.033000,Natural,Java,3
Gunung Papandayan,Mountain,Jawa Barat,-7.320000,107.730000,Natural,Java,3
Pantai Pangandaran,Beach,Jawa Barat,-7.700000,108.650000,Natural,Java,4
Gunung Galunggung,Volcano,Jawa Barat,-7.250000,108.050000,Natural,Java,3
Pantai Citepus,Beach,Jawa Barat,-6.983000,106.563000,Natural,Java,2
Gunung Tangkuban Perahu,Volcano,Jawa Barat,-6.759000,107.610000,Natural,Java,4
Pantai Karanghawu,Beach,Jawa Barat,-6.998000,106.553000,Natural,Java,2
Gunung Talang,Volcano,Sumatra Barat,-0.994000,100.679000,Natural,Sumatra,3
Pantai Air Manis,Beach,Sumatra Barat,-0.992000,100.353000,Natural,Sumatra,3
Gunung Singgalang,Mountain,Sumatra Barat,-0.399000,100.319000,Natural,Sumatra,3
Pantai Padang,Beach,Sumatra Barat,-0.950000,100.353000,Natural,Sumatra,3
Gunung Dempo,Mountain,Sumatra Selatan,-4.019000,103.130000,Natural,Sumatra,3
Pantai Pasir Putih,Beach,Lampung,-5.540000,105.370000,Natural,Sumatra,3
Gunung Leuser,National Park,Aceh,3.600000,97.200000,Natural,Sumatra,5
Pantai Lampuuk,Beach,Aceh,5.550000,95.230000,Natural,Sumatra,3
Gunung Seulawah Agam,Mountain,Aceh,5.400000,95.650000,Natural,Sumatra,3
Pantai Iboih,Beach,Aceh,5.888000,95.316000,Natural,Sumatra,3
Gunung Latimojong,Mountain,Sulawesi Selatan,-3.400000,120.000000,Natural,Sulawesi,3
Pantai Bira,Beach,Sulawesi Selatan,-5.600000,120.467000,Natural,Sulawesi,3
Gunung Lokon,Volcano,Sulawesi Utara,1.358000,124.792000,Natural,Sulawesi,3
Pantai Likupang,Beach,Sulawesi Utara,1.667000,125.050000,Natural,Sulawesi,3
Gunung Soputan,Volcano,Sulawesi Utara,1.108000,124.729000,Natural,Sulawesi,3
Pantai Tumbak,Beach,Sulawesi Utara,0.783000,124.683000,Natural,Sulawesi,2
Gunung Tambora,Volcano,Nusa Tenggara Barat,-8.247000,117.993000,Natural,Bali-Nusa Tenggara,5
Pantai Senggigi,Beach,Nusa Tenggara Barat,-8.492000,116.041000,Natural,Bali-Nusa Tenggara,4
Gunung Alor,Mountain,Nusa Tenggara Timur,-8.216000,124.467000,Natural,Bali-Nusa Tenggara,3
Pantai Lasiana,Beach,Nusa Tenggara Timur,-10.167000,123.583000,Natural,Bali-Nusa Tenggara,2
Gunung Egon,Volcano,Nusa Tenggara Timur,-8.683000,122.200000,Natural,Bali-Nusa Tenggara,3
Pantai Kupang,Beach,Nusa Tenggara Timur,-10.178000,123.583000,Natural,Bali-Nusa Tenggara,2
